UNKNOWN
version=1
nRows=6001
nColumns=4
inDegrees=no
endheader
time	Coordinates(Deg.)	soleus_r	tib_ant_r
    153.00000000	      3.06000000	      0.04480366	      0.06858319
    154.00000000	      3.08000000	      0.04184009	      0.07208395
    155.00000000	      3.10000000	      0.03885738	      0.07560557
    156.00000000	      3.12000000	      0.03594528	      0.07906062
    157.00000000	      3.14000000	      0.03319347	      0.08236833
    158.00000000	      3.16000000	      0.03068605	      0.08545782
    159.00000000	      3.18000000	      0.02849371	      0.08827027
    160.00000000	      3.20000000	      0.02666434	      0.09075987
    161.00000000	      3.22000000	      0.02521540	      0.09289348
    162.00000000	      3.24000000	      0.02413216	      0.09464932
    163.00000000	      3.26000000	      0.02337867	      0.09601475
    164.00000000	      3.28000000	      0.02290510	      0.09698366
    165.00000000	      3.30000000	      0.02265181	      0.09755391
    166.00000000	      3.32000000	      0.02257954	      0.09772515
    167.00000000	      3.34000000	      0.02267604	      0.09749741
    168.00000000	      3.36000000	      0.02295756	      0.09687067
    169.00000000	      3.38000000	      0.02346681	      0.09584542
    170.00000000	      3.40000000	      0.02426463	      0.09442423
    171.00000000	      3.42000000	      0.02539767	      0.09261394
    172.00000000	      3.44000000	      0.02690030	      0.09042835
    173.00000000	      3.46000000	      0.02878288	      0.08789075
    174.00000000	      3.48000000	      0.03102337	      0.08503598
    175.00000000	      3.50000000	      0.03357010	      0.08191172
    176.00000000	      3.52000000	      0.03634992	      0.07857859
    177.00000000	      3.54000000	      0.03927751	      0.07510901
    178.00000000	      3.56000000	      0.04226292	      0.07158493
    179.00000000	      3.58000000	      0.04521670	      0.06809439
    180.00000000	      3.60000000	      0.04805356	      0.06472728
    181.00000000	      3.62000000	      0.05069662	      0.06157049
    182.00000000	      3.64000000	      0.05305052	      0.05870298
    183.00000000	      3.66000000	      0.05508452	      0.05619131
    184.00000000	      3.68000000	      0.05676512	      0.05408651
    185.00000000	      3.70000000	      0.05807568	      0.05242310
    186.00000000	      3.72000000	      0.05901248	      0.05122068
    187.00000000	      3.74000000	      0.05957890	      0.05048775
    188.00000000	      3.76000000	      0.05977982	      0.05022665
    189.00000000	      3.78000000	      0.05961751	      0.05043762
    190.00000000	      3.80000000	      0.05909012	      0.05112049
    191.00000000	      3.82000000	      0.05819288	      0.05227331
    192.00000000	      3.84000000	      0.05692201	      0.05388846
    193.00000000	      3.86000000	      0.05528018	      0.05594774
    194.00000000	      3.88000000	      0.05328244	      0.05841834
    195.00000000	      3.90000000	      0.05096037	      0.06125096
    196.00000000	      3.92000000	      0.04834466	      0.06438059
    197.00000000	      3.94000000	      0.04552494	      0.06772940
    198.00000000	      3.96000000	      0.04257964	      0.07121109
    199.00000000	      3.98000000	      0.03959339	      0.07473585
    200.00000000	      4.00000000	      0.03665536	      0.07821525
    201.00000000	      4.02000000	      0.03385566	      0.08156650
    202.00000000	      4.04000000	      0.03128042	      0.08471603
    203.00000000	      4.06000000	      0.02900450	      0.08760191
    204.00000000	      4.08000000	      0.02708230	      0.09017507
    205.00000000	      4.10000000	      0.02553927	      0.09239933
    206.00000000	      4.12000000	      0.02436836	      0.09425027
    207.00000000	      4.14000000	      0.02353672	      0.09571322
    208.00000000	      4.16000000	      0.02299987	      0.09678069
    209.00000000	      4.18000000	      0.02269661	      0.09744979
    210.00000000	      4.20000000	      0.02258173	      0.09771990
    211.00000000	      4.22000000	      0.02263599	      0.09759103
    212.00000000	      4.24000000	      0.02286864	      0.09706315
    213.00000000	      4.26000000	      0.02331625	      0.09613652
    214.00000000	      4.28000000	      0.02403711	      0.09481300
    215.00000000	      4.30000000	      0.02508354	      0.09309816
    216.00000000	      4.32000000	      0.02649242	      0.09100381
    217.00000000	      4.34000000	      0.02828164	      0.08855066
    218.00000000	      4.36000000	      0.03043723	      0.08577054
    219.00000000	      4.38000000	      0.03291422	      0.08270790
    220.00000000	      4.40000000	      0.03564391	      0.07942020
    221.00000000	      4.42000000	      0.03854319	      0.07597712
