UNKNOWN
version=1
nRows=100
nColumns=5
inDegrees=no
endheader
time	knee_angle_l	med_gas_l	soleus_l	tib_ant_l
     50.00000000	    -54.34343414	      0.07113810	      0.04517987	      0.06875863
     51.00000000	    -53.03030282	      0.07150144	      0.04517987	      0.06875863
     52.00000000	    -51.71717151	      0.07186534	      0.04517987	      0.06875863
     53.00000000	    -50.40404019	      0.07222941	      0.04517987	      0.06875863
     54.00000000	    -49.09090888	      0.07259326	      0.04517987	      0.06875863
     55.00000000	    -47.77777756	      0.07295653	      0.04517987	      0.06875863
     56.00000000	    -46.46464625	      0.07331888	      0.04517987	      0.06875863
     57.00000000	    -45.15151493	      0.07368000	      0.04517987	      0.06875863
     58.00000000	    -43.83838362	      0.07436280	      0.04517987	      0.06875863
     59.00000000	    -42.52525231	      0.07473826	      0.04517987	      0.06875863
     60.00000000	    -41.21212099	      0.07511855	      0.04517987	      0.06875863
     61.00000000	    -39.89898968	      0.07550348	      0.04517987	      0.06875863
     62.00000000	    -38.58585836	      0.07589304	      0.04517987	      0.06875863
     63.00000000	    -37.27272705	      0.07628766	      0.04517987	      0.06875863
     64.00000000	    -35.95959573	      0.07668782	      0.04517987	      0.06875863
     65.00000000	    -34.64646442	      0.07709397	      0.04517987	      0.06875863
     66.00000000	    -33.33333310	      0.07750651	      0.04517987	      0.06875863
     67.00000000	    -32.02020179	      0.07792580	      0.04517987	      0.06875863
     68.00000000	    -30.70707048	      0.07835214	      0.04517987	      0.06875863
     69.00000000	    -29.39393916	      0.07878579	      0.04517987	      0.06875863
     70.00000000	    -28.08080785	      0.07922689	      0.04517987	      0.06875863
     71.00000000	    -26.76767653	      0.07967548	      0.04517987	      0.06875863
     72.00000000	    -25.45454522	      0.08013153	      0.04517987	      0.06875863
     73.00000000	    -24.14141390	      0.08059495	      0.04517987	      0.06875863
     74.00000000	    -22.82828259	      0.08106558	      0.04517987	      0.06875863
     75.00000000	    -21.51515127	      0.08154317	      0.04517987	      0.06875863
     76.00000000	    -20.20201996	      0.08202743	      0.04517987	      0.06875863
     77.00000000	    -18.88888864	      0.08251776	      0.04517987	      0.06875863
     78.00000000	    -17.57575733	      0.08301224	      0.04517987	      0.06875863
     79.00000000	    -16.26262602	      0.08350865	      0.04517987	      0.06875863
     80.00000000	    -14.94949470	      0.08400500	      0.04517987	      0.06875863
     81.00000000	    -13.63636339	      0.08449958	      0.04517987	      0.06875863
     82.00000000	    -12.32323207	      0.08499097	      0.04517987	      0.06875863
     83.00000000	    -11.01010076	      0.08547803	      0.04517987	      0.06875863
     84.00000000	     -9.69696944	      0.08595993	      0.04517987	      0.06875863
     85.00000000	     -8.38383813	      0.08643657	      0.04517987	      0.06875863
     86.00000000	     -7.07070681	      0.08690889	      0.04517987	      0.06875863
     87.00000000	     -5.75757550	      0.08737788	      0.04517987	      0.06875863
     88.00000000	     -4.44444418	      0.08784450	      0.04517987	      0.06875863
     89.00000000	     -3.13131287	      0.08830967	      0.04517987	      0.06875863
     90.00000000	     -1.81818156	      0.08877425	      0.04517987	      0.06875863
     91.00000000	     -0.50505024	      0.08923904	      0.04517987	      0.06875863
     92.00000000	      0.80808107	      0.08970479	      0.04517987	      0.06875863
     93.00000000	      2.12121239	      0.09017071	      0.04517987	      0.06875863
     94.00000000	      3.43434370	      0.09063622	      0.04517987	      0.06875863
     95.00000000	      4.74747502	      0.09110440	      0.04517987	      0.06875863
     96.00000000	      6.06060633	      0.09157574	      0.04517987	      0.06875863
     97.00000000	      7.37373765	      0.09205066	      0.04517987	      0.06875863
     98.00000000	      8.68686896	      0.09252952	      0.04517987	      0.06875863
     99.00000000	     10.00000028	      0.09301261	      0.04517987	      0.06875863
