UNKNOWN
version=1
nRows=100
nColumns=5
inDegrees=no
endheader
time	ankle_angle_l	med_gas_l	soleus_l	tib_ant_l
     52.00000000	      3.03030303	      0.08237888	      0.04207142	      0.07227840
     53.00000000	      4.24242424	      0.08326490	      0.04283159	      0.07141981
     54.00000000	      5.45454545	      0.08414869	      0.04359269	      0.07055895
     55.00000000	      6.66666666	      0.08502983	      0.04435427	      0.06969606
     56.00000000	      7.87878787	      0.08590793	      0.04511585	      0.06883141
     57.00000000	      9.09090908	      0.08678258	      0.04587697	      0.06796524
     58.00000000	     10.30303029	      0.08765337	      0.04663718	      0.06709784
     59.00000000	     11.51515150	      0.08851990	      0.04739603	      0.06622948
     60.00000000	     12.72727271	      0.08938174	      0.04815305	      0.06536045
     61.00000000	     13.93939392	      0.09023641	      0.04890778	      0.06449107
     62.00000000	     15.15151513	      0.09107988	      0.04965975	      0.06362166
     63.00000000	     16.36363634	      0.09191692	      0.05040444	      0.06275256
     64.00000000	     17.57575756	      0.09274710	      0.05114137	      0.06188411
     65.00000000	     18.78787877	      0.09356997	      0.05187314	      0.06101671
     66.00000000	     19.99999998	      0.09438510	      0.05259919	      0.06015072
     67.00000000	     21.21212119	      0.09519205	      0.05331893	      0.05928658
     68.00000000	     22.42424240	      0.09599041	      0.05403177	      0.05842472
     69.00000000	     23.63636361	      0.09677972	      0.05473711	      0.05756560
     70.00000000	     24.84848482	      0.09755958	      0.05543435	      0.05670972
     71.00000000	     26.06060603	      0.09832954	      0.05612288	      0.05585758
     72.00000000	     27.27272724	      0.09908921	      0.05680210	      0.05500975
     73.00000000	     28.48484845	      0.09983815	      0.05747140	      0.05416680
     74.00000000	     29.69696966	      0.10057597	      0.05813017	      0.05332936
     75.00000000	     30.90909087	      0.10130226	      0.05877783	      0.05249809
     76.00000000	     32.12121208	      0.10201664	      0.05941380	      0.05167369
     77.00000000	     33.33333330	      0.10271871	      0.06003750	      0.05085691
     78.00000000	     34.54545451	      0.10340811	      0.06064839	      0.05004854
     79.00000000	     35.75757572	      0.10408446	      0.06124594	      0.04924943
     80.00000000	     36.96969693	      0.10474741	      0.06182965	      0.04846048
     81.00000000	     38.18181814	      0.10539661	      0.06239904	      0.04768265
     82.00000000	     39.39393935	      0.10603174	      0.06295367	      0.04691696
     83.00000000	     40.60606056	      0.10665246	      0.06349314	      0.04616449
     84.00000000	     41.81818177	      0.10725847	      0.06401705	      0.04542639
     85.00000000	     43.03030298	      0.10784947	      0.06452507	      0.04470387
     86.00000000	     44.24242419	      0.10842518	      0.06501689	      0.04399823
     87.00000000	     45.45454540	      0.10898533	      0.06549225	      0.04331081
     88.00000000	     46.66666661	      0.10952965	      0.06595091	      0.04264306
     89.00000000	     47.87878782	      0.11005791	      0.06639269	      0.04199646
     90.00000000	     49.09090903	      0.11056987	      0.06681742	      0.04137258
     91.00000000	     50.30303025	      0.11106531	      0.06722499	      0.04077305
     92.00000000	     51.51515146	      0.11154403	      0.06761529	      0.04019956
     93.00000000	     52.72727267	      0.11200584	      0.06798828	      0.03965384
     94.00000000	     53.93939388	      0.11245056	      0.06834392	      0.03913765
     95.00000000	     55.15151509	      0.11287802	      0.06868221	      0.03865279
     96.00000000	     56.36363630	      0.11328807	      0.06900316	      0.03820105
     97.00000000	     57.57575751	      0.11368057	      0.06930680	      0.03778421
     98.00000000	     58.78787872	      0.11405539	      0.06959321	      0.03740402
     99.00000000	     59.99999993	      0.11441240	      0.06986244	      0.03706216
