UNKNOWN
version=1
nRows=5001
nColumns=5
inDegrees=no
endheader
time	Coordinates(Deg.)	med_gas_l	soleus_l	tib_ant_l
   1250.00000000	     42.49800000	      0.08369245	      0.04408334	      0.06943500
   1251.00000000	     42.50000000	      0.08373300	      0.04408170	      0.06943693
   1252.00000000	     42.50200000	      0.08377187	      0.04408021	      0.06943869
   1253.00000000	     42.50400000	      0.08380900	      0.04407892	      0.06944022
   1254.00000000	     42.50600000	      0.08384434	      0.04407788	      0.06944145
   1255.00000000	     42.50800000	      0.08387787	      0.04407714	      0.06944232
   1256.00000000	     42.51000000	      0.08390949	      0.04407676	      0.06944277
   1257.00000000	     42.51200000	      0.08393919	      0.04407678	      0.06944274
   1258.00000000	     42.51400000	      0.08396686	      0.04407725	      0.06944219
   1259.00000000	     42.51600000	      0.08399245	      0.04407819	      0.06944108
   1260.00000000	     42.51800000	      0.08401588	      0.04407963	      0.06943937
   1261.00000000	     42.52000000	      0.08403710	      0.04408162	      0.06943702
   1262.00000000	     42.52200000	      0.08405604	      0.04408416	      0.06943402
   1263.00000000	     42.52400000	      0.08407265	      0.04408729	      0.06943032
   1264.00000000	     42.52600000	      0.08408688	      0.04409100	      0.06942593
   1265.00000000	     42.52800000	      0.08409866	      0.04409531	      0.06942084
   1266.00000000	     42.53000000	      0.08410793	      0.04410021	      0.06941504
   1267.00000000	     42.53200000	      0.08411465	      0.04410570	      0.06940855
   1268.00000000	     42.53400000	      0.08411874	      0.04411176	      0.06940140
   1269.00000000	     42.53600000	      0.08412015	      0.04411836	      0.06939359
   1270.00000000	     42.53800000	      0.08411883	      0.04412547	      0.06938519
   1271.00000000	     42.54000000	      0.08411470	      0.04413305	      0.06937623
   1272.00000000	     42.54200000	      0.08410776	      0.04414104	      0.06936678
   1273.00000000	     42.54400000	      0.08409792	      0.04414940	      0.06935691
   1274.00000000	     42.54600000	      0.08408511	      0.04415803	      0.06934671
   1275.00000000	     42.54800000	      0.08406932	      0.04416687	      0.06933626
   1276.00000000	     42.55000000	      0.08405049	      0.04417583	      0.06932567
   1277.00000000	     42.55200000	      0.08402852	      0.04418480	      0.06931506
   1278.00000000	     42.55400000	      0.08400338	      0.04419368	      0.06930456
