UNKNOWN
version=1
nRows=1928
nColumns=8
inDegrees=no
endheader
time	Coordinates(Deg.)	lat_gas_l	lat_gas_r	soleus_l	soleus_r	tib_ant_l	tib_ant_r
     84.00000000	      0.84000000	      0.04864505	      0.06274344	      0.03691352	      0.05197069	      0.07790845	      0.06002304
     85.00000000	      0.85000000	      0.04903022	      0.06272896	      0.03709277	      0.05213096	      0.07769561	      0.05982764
     86.00000000	      0.86000000	      0.04985551	      0.06261959	      0.03777062	      0.05223089	      0.07689170	      0.05970572
     87.00000000	      0.87000000	      0.05023634	      0.06253413	      0.03820427	      0.05240797	      0.07637815	      0.05948949
     88.00000000	      0.88000000	      0.04983939	      0.06229568	      0.03809637	      0.05252162	      0.07650589	      0.05935060
     89.00000000	      0.89000000	      0.04944702	      0.06184338	      0.03815276	      0.05249182	      0.07643913	      0.05938702
     90.00000000	      0.90000000	      0.04906468	      0.06142846	      0.03840630	      0.05250495	      0.07613907	      0.05937097
     91.00000000	      0.91000000	      0.04856363	      0.06095513	      0.03864762	      0.05245474	      0.07585360	      0.05943235
     92.00000000	      0.92000000	      0.04756290	      0.06032968	      0.03829887	      0.05226008	      0.07626619	      0.05967008
     93.00000000	      0.93000000	      0.04616751	      0.05965284	      0.03718465	      0.05205609	      0.07758655	      0.05991895
     94.00000000	      0.94000000	      0.04537780	      0.05880364	      0.03618014	      0.05175027	      0.07878073	      0.06029150
     95.00000000	      0.95000000	      0.04488105	      0.05770031	      0.03548241	      0.05122852	      0.07961311	      0.06092570
     96.00000000	      0.96000000	      0.04334349	      0.05657116	      0.03440671	      0.05068314	      0.08090247	      0.06158680
     97.00000000	      0.97000000	      0.04217807	      0.05523840	      0.03409368	      0.05009762	      0.08127934	      0.06229464
     98.00000000	      0.98000000	      0.04243680	      0.05363829	      0.03500102	      0.04935335	      0.08018910	      0.06317729
     99.00000000	      0.99000000	      0.04306312	      0.05162880	      0.03596000	      0.04819131	      0.07904306	      0.06456325
    100.00000000	      1.00000000	      0.04337556	      0.04920972	      0.03642461	      0.04661880	      0.07848970	      0.06643260
    101.00000000	      1.01000000	      0.04379018	      0.04643374	      0.03695433	      0.04471703	      0.07785999	      0.06868568
    102.00000000	      1.02000000	      0.04417284	      0.04340333	      0.03734163	      0.04245826	      0.07740029	      0.07135436
    103.00000000	      1.03000000	      0.04470508	      0.04019535	      0.03769282	      0.03985911	      0.07698390	      0.07442204
    104.00000000	      1.04000000	      0.04546362	      0.03664152	      0.03819463	      0.03697088	      0.07638957	      0.07784033
    105.00000000	      1.05000000	      0.04608150	      0.03363363	      0.03865767	      0.03486377	      0.07584171	      0.08035361
    106.00000000	      1.06000000	      0.04645613	      0.03236526	      0.03901199	      0.03449177	      0.07542279	      0.08080020
    107.00000000	      1.07000000	      0.04676233	      0.03292571	      0.03932875	      0.03577099	      0.07504846	      0.07926851
    108.00000000	      1.08000000	      0.04742709	      0.03423744	      0.03993613	      0.03768844	      0.07433109	      0.07698909
    109.00000000	      1.09000000	      0.04809156	      0.03547286	      0.04052405	      0.03943669	      0.07363704	      0.07492095
    110.00000000	      1.10000000	      0.04810320	      0.03629339	      0.04047553	      0.04065086	      0.07369431	      0.07348738
    111.00000000	      1.11000000	      0.04835239	      0.03662163	      0.04061866	      0.04123751	      0.07352538	      0.07279505
    112.00000000	      1.12000000	      0.04874992	      0.03668505	      0.04089277	      0.04152198	      0.07320188	      0.07245935
    113.00000000	      1.13000000	      0.04915209	      0.03700785	      0.04113431	      0.04200474	      0.07291684	      0.07188964
    114.00000000	      1.14000000	      0.04994935	      0.03770970	      0.04166167	      0.04276474	      0.07229451	      0.07099256
    115.00000000	      1.15000000	      0.05026993	      0.03867938	      0.04184663	      0.04371065	      0.07207624	      0.06987542
    116.00000000	      1.16000000	      0.05028024	      0.03967883	      0.04186634	      0.04461762	      0.07205298	      0.06880327
    117.00000000	      1.17000000	      0.05066157	      0.04048750	      0.04223720	      0.04528645	      0.07161529	      0.06801181
    118.00000000	      1.18000000	      0.05127388	      0.04115049	      0.04277144	      0.04577719	      0.07098466	      0.06743058
    119.00000000	      1.19000000	      0.05149459	      0.04171409	      0.04286986	      0.04610732	      0.07086845	      0.06703929
    120.00000000	      1.20000000	      0.05180044	      0.04225172	      0.04290493	      0.04632876	      0.07082704	      0.06677669
    121.00000000	      1.21000000	      0.05215679	      0.04302339	      0.04288440	      0.04666738	      0.07085128	      0.06637493
    122.00000000	      1.22000000	      0.05288506	      0.04391848	      0.04315973	      0.04711559	      0.07052617	      0.06584273
    123.00000000	      1.23000000	      0.05396602	      0.04464554	      0.04370660	      0.04741475	      0.06988020	      0.06548722
    124.00000000	      1.24000000	      0.05479947	      0.04532804	      0.04415524	      0.04765423	      0.06935001	      0.06520246
    125.00000000	      1.25000000	      0.05480074	      0.04609764	      0.04436763	      0.04793379	      0.06909890	      0.06486984
    126.00000000	      1.26000000	      0.05457436	      0.04693820	      0.04477714	      0.04819242	      0.06861457	      0.06456194
    127.00000000	      1.27000000	      0.05465795	      0.04777194	      0.04513418	      0.04837781	      0.06819207	      0.06434110
    128.00000000	      1.28000000	      0.05532384	      0.04873857	      0.04570939	      0.04867419	      0.06751090	      0.06398784
    129.00000000	      1.29000000	      0.05587830	      0.04969215	      0.04612201	      0.04895064	      0.06702187	      0.06365809
    130.00000000	      1.30000000	      0.05613647	      0.05045331	      0.04631491	      0.04904567	      0.06679313	      0.06354468
    131.00000000	      1.31000000	      0.05638442	      0.05124869	      0.04649643	      0.04909935	      0.06657780	      0.06348061
    132.00000000	      1.32000000	      0.05700606	      0.05183699	      0.04694717	      0.04888728	      0.06604277	      0.06373368
    133.00000000	      1.33000000	      0.05758624	      0.05223848	      0.04737288	      0.04844711	      0.06553699	      0.06425852
    134.00000000	      1.34000000	      0.05804036	      0.05306633	      0.04774119	      0.04838745	      0.06509902	      0.06432961
    135.00000000	      1.35000000	      0.05862200	      0.05391664	      0.04824309	      0.04834018	      0.06450159	      0.06438593
    136.00000000	      1.36000000	      0.05869759	      0.05480968	      0.04830546	      0.04825337	      0.06442729	      0.06448935
    137.00000000	      1.37000000	      0.05848280	      0.05566339	      0.04812406	      0.04811503	      0.06464334	      0.06465410
    138.00000000	      1.38000000	      0.05868800	      0.05633640	      0.04831333	      0.04783285	      0.06441792	      0.06498997
    139.00000000	      1.39000000	      0.05920100	      0.05671758	      0.04878498	      0.04733302	      0.06385572	      0.06558437
    140.00000000	      1.40000000	      0.05941421	      0.05715216	      0.04900146	      0.04692007	      0.06359745	      0.06607495
    141.00000000	      1.41000000	      0.05952646	      0.05778808	      0.04914832	      0.04677313	      0.06342214	      0.06624942
    142.00000000	      1.42000000	      0.05972017	      0.05826983	      0.04936672	      0.04663757	      0.06316132	      0.06641031
    143.00000000	      1.43000000	      0.05980409	      0.05869335	      0.04950716	      0.04659975	      0.06299351	      0.06645519
    144.00000000	      1.44000000	      0.05980778	      0.05907584	      0.04959883	      0.04671475	      0.06288394	      0.06631872
    145.00000000	      1.45000000	      0.05975070	      0.05930975	      0.04965162	      0.04691014	      0.06282083	      0.06608674
    146.00000000	      1.46000000	      0.05972674	      0.05935468	      0.04975954	      0.04705452	      0.06269178	      0.06591528
    147.00000000	      1.47000000	      0.05967298	      0.05910898	      0.04986115	      0.04698868	      0.06257025	      0.06599347
    148.00000000	      1.48000000	      0.05966374	      0.05875573	      0.05003157	      0.04686594	      0.06237436	      0.06613922
    149.00000000	      1.49000000	      0.05936537	      0.05834352	      0.04995777	      0.04676765	      0.06245464	      0.06625591
    150.00000000	      1.50000000	      0.05896346	      0.05772341	      0.04984910	      0.04656565	      0.06258467	      0.06649567
    151.00000000	      1.51000000	      0.05870795	      0.05715293	      0.04994316	      0.04646589	      0.06247213	      0.06661403
    152.00000000	      1.52000000	      0.05829028	      0.05630287	      0.04994377	      0.04615121	      0.06247139	      0.06698726
    153.00000000	      1.53000000	      0.05782883	      0.05448257	      0.04993827	      0.04496141	      0.06247798	      0.06839654
    154.00000000	      1.54000000	      0.05694379	      0.05291370	      0.04958593	      0.04382063	      0.06289936	      0.06974547
    155.00000000	      1.55000000	      0.05568770	      0.05213822	      0.04895023	      0.04329219	      0.06365858	      0.07036974
    156.00000000	      1.56000000	      0.05434857	      0.05158606	      0.04827388	      0.04308835	      0.06446491	      0.07061047
    157.00000000	      1.57000000	      0.05294451	      0.05114708	      0.04757155	      0.04318265	      0.06530079	      0.07049911
    158.00000000	      1.58000000	      0.05100628	      0.05101669	      0.04643573	      0.04355579	      0.06664981	      0.07005838
    159.00000000	      1.59000000	      0.04851390	      0.05113736	      0.04486640	      0.04395349	      0.06850896	      0.06958846
    160.00000000	      1.60000000	      0.04571367	      0.05134367	      0.04309250	      0.04421957	      0.07060557	      0.06927395
    161.00000000	      1.61000000	      0.04248522	      0.05152457	      0.04094622	      0.04436355	      0.07313881	      0.06910373
    162.00000000	      1.62000000	      0.03866475	      0.05173819	      0.03820509	      0.04453529	      0.07637718	      0.06890064
    163.00000000	      1.63000000	      0.03445879	      0.05204981	      0.03511879	      0.04478503	      0.08004804	      0.06860524
    164.00000000	      1.64000000	      0.02980269	      0.05245942	      0.03191710	      0.04510064	      0.08392865	      0.06823176
    165.00000000	      1.65000000	      0.02535174	      0.05275809	      0.02913137	      0.04528851	      0.08743732	      0.06800937
    166.00000000	      1.66000000	      0.02208650	      0.05307113	      0.02732333	      0.04548459	      0.08984267	      0.06777719
    167.00000000	      1.67000000	      0.01998508	      0.05355424	      0.02631107	      0.04583882	      0.09126346	      0.06735754
    168.00000000	      1.68000000	      0.01881553	      0.05403122	      0.02594711	      0.04618168	      0.09179246	      0.06695112
    169.00000000	      1.69000000	      0.01875778	      0.05453459	      0.02635290	      0.04653891	      0.09120335	      0.06652739
    170.00000000	      1.70000000	      0.01980443	      0.05488822	      0.02753444	      0.04675751	      0.08955418	      0.06626796
    171.00000000	      1.71000000	      0.02107658	      0.05514936	      0.02887805	      0.04686738	      0.08776650	      0.06613752
    172.00000000	      1.72000000	      0.02212076	      0.05542898	      0.03000328	      0.04696002	      0.08631937	      0.06602751
    173.00000000	      1.73000000	      0.02301017	      0.05567149	      0.03094316	      0.04702927	      0.08513607	      0.06594526
    174.00000000	      1.74000000	      0.02387910	      0.05592489	      0.03181954	      0.04712808	      0.08404886	      0.06582789
    175.00000000	      1.75000000	      0.02479320	      0.05627499	      0.03270103	      0.04728096	      0.08296777	      0.06564623
    176.00000000	      1.76000000	      0.02613384	      0.05662569	      0.03391069	      0.04741415	      0.08150006	      0.06548793
    177.00000000	      1.77000000	      0.02767853	      0.05710265	      0.03526054	      0.04773425	      0.07987839	      0.06510727
    178.00000000	      1.78000000	      0.02923106	      0.05739425	      0.03658573	      0.04793431	      0.07829803	      0.06486923
    179.00000000	      1.79000000	      0.03048919	      0.05755915	      0.03761642	      0.04802755	      0.07707445	      0.06475824
    180.00000000	      1.80000000	      0.03123968	      0.05765959	      0.03814293	      0.04804673	      0.07645077	      0.06473541
    181.00000000	      1.81000000	      0.03163106	      0.05782211	      0.03829709	      0.04809760	      0.07626830	      0.06467485
    182.00000000	      1.82000000	      0.03212353	      0.05813646	      0.03846984	      0.04824830	      0.07606388	      0.06449538
    183.00000000	      1.83000000	      0.03305187	      0.05857845	      0.03896957	      0.04846477	      0.07547293	      0.06423748
    184.00000000	      1.84000000	      0.03431076	      0.05915577	      0.03972315	      0.04876499	      0.07458260	      0.06387956
    185.00000000	      1.85000000	      0.03593328	      0.05960470	      0.04074024	      0.04898395	      0.07338189	      0.06361834
    186.00000000	      1.86000000	      0.03734196	      0.05984261	      0.04149069	      0.04907316	      0.07249627	      0.06351187
    187.00000000	      1.87000000	      0.03814023	      0.06007533	      0.04159431	      0.04920364	      0.07237400	      0.06335609
    188.00000000	      1.88000000	      0.03853142	      0.06026650	      0.04122256	      0.04931737	      0.07281269	      0.06322027
    189.00000000	      1.89000000	      0.03902222	      0.06040060	      0.04085863	      0.04942365	      0.07324217	      0.06309331
    190.00000000	      1.90000000	      0.03981612	      0.06067549	      0.04071135	      0.04961706	      0.07341599	      0.06286216
    191.00000000	      1.91000000	      0.04084303	      0.06095314	      0.04071486	      0.04974812	      0.07341184	      0.06270544
    192.00000000	      1.92000000	      0.04194863	      0.06117983	      0.04073822	      0.04985809	      0.07338427	      0.06257391
    193.00000000	      1.93000000	      0.04319242	      0.06131464	      0.04079215	      0.04992963	      0.07332063	      0.06248832
    194.00000000	      1.94000000	      0.04440313	      0.06150550	      0.04076726	      0.05006679	      0.07335000	      0.06233186
    195.00000000	      1.95000000	      0.04582967	      0.06164506	      0.04087544	      0.05014852	      0.07322233	      0.06223318
    196.00000000	      1.96000000	      0.04696860	      0.06172685	      0.04061594	      0.05021253	      0.07352859	      0.06215587
    197.00000000	      1.97000000	      0.04767051	      0.06190714	      0.03991081	      0.05038114	      0.07436099	      0.06195213
    198.00000000	      1.98000000	      0.04832352	      0.06222131	      0.03924649	      0.05065514	      0.07514567	      0.06162070
    199.00000000	      1.99000000	      0.04893073	      0.06242334	      0.03874789	      0.05084697	      0.07573502	      0.06138840
    200.00000000	      2.00000000	      0.04924896	      0.06256935	      0.03824969	      0.05101132	      0.07632439	      0.06118920
    201.00000000	      2.01000000	      0.04941715	      0.06269569	      0.03787358	      0.05117527	      0.07676973	      0.06099032
    202.00000000	      2.02000000	      0.04990935	      0.06275931	      0.03803967	      0.05133483	      0.07657302	      0.06079661
    203.00000000	      2.03000000	      0.05072966	      0.06269520	      0.03868681	      0.05142479	      0.07580725	      0.06068733
    204.00000000	      2.04000000	      0.05154893	      0.06250951	      0.03940151	      0.05146456	      0.07496251	      0.06063901
    205.00000000	      2.05000000	      0.05185466	      0.06225241	      0.03967788	      0.05149768	      0.07463606	      0.06059875
    206.00000000	      2.06000000	      0.05148679	      0.06198235	      0.03939819	      0.05153982	      0.07496643	      0.06054751
    207.00000000	      2.07000000	      0.05115261	      0.06175336	      0.03923678	      0.05163285	      0.07515714	      0.06043438
    208.00000000	      2.08000000	      0.05108492	      0.06162321	      0.03951265	      0.05186334	      0.07483121	      0.06015383
    209.00000000	      2.09000000	      0.05084723	      0.06130217	      0.03987809	      0.05196958	      0.07439963	      0.06002440
    210.00000000	      2.10000000	      0.04965685	      0.06059201	      0.03949147	      0.05175738	      0.07485623	      0.06028284
    211.00000000	      2.11000000	      0.04735068	      0.05985010	      0.03785993	      0.05154440	      0.07678590	      0.06054195
    212.00000000	      2.12000000	      0.04536830	      0.05897021	      0.03607993	      0.05124134	      0.07890012	      0.06091013
    213.00000000	      2.13000000	      0.04469818	      0.05782984	      0.03528908	      0.05072369	      0.07984425	      0.06153770
    214.00000000	      2.14000000	      0.04391823	      0.05659820	      0.03482643	      0.05016035	      0.08039839	      0.06221890
    215.00000000	      2.15000000	      0.04262966	      0.05524053	      0.03445638	      0.04958347	      0.08084274	      0.06290231
    216.00000000	      2.16000000	      0.04259675	      0.05354656	      0.03528049	      0.04871025	      0.07985452	      0.06394484
    217.00000000	      2.17000000	      0.04314927	      0.05141561	      0.03634236	      0.04735430	      0.07858758	      0.06555907
    218.00000000	      2.18000000	      0.04357800	      0.04886802	      0.03699889	      0.04565108	      0.07780707	      0.06757998
    219.00000000	      2.19000000	      0.04394349	      0.04593283	      0.03750888	      0.04363726	      0.07720194	      0.06996213
    220.00000000	      2.20000000	      0.04412169	      0.04264386	      0.03778020	      0.04125506	      0.07688035	      0.07277434
    221.00000000	      2.21000000	      0.04455165	      0.03913047	      0.03805444	      0.03860852	      0.07655553	      0.07589985
    222.00000000	      2.22000000	      0.04524462	      0.03569064	      0.03842881	      0.03601937	      0.07611243	      0.07897229
    223.00000000	      2.23000000	      0.04594394	      0.03299960	      0.03888822	      0.03419717	      0.07556911	      0.08115465
    224.00000000	      2.24000000	      0.04674188	      0.03203339	      0.03956890	      0.03405375	      0.07476477	      0.08132748
    225.00000000	      2.25000000	      0.04741950	      0.03274946	      0.04019873	      0.03545179	      0.07402106	      0.07964970
    226.00000000	      2.26000000	      0.04794524	      0.03407342	      0.04067655	      0.03741382	      0.07345706	      0.07731466
    227.00000000	      2.27000000	      0.04799293	      0.03527756	      0.04065012	      0.03918338	      0.07348825	      0.07522024
    228.00000000	      2.28000000	      0.04814954	      0.03603878	      0.04069492	      0.04039495	      0.07343538	      0.07378943
    229.00000000	      2.29000000	      0.04850047	      0.03645155	      0.04093735	      0.04109281	      0.07314926	      0.07296581
    230.00000000	      2.30000000	      0.04883170	      0.03671163	      0.04114114	      0.04151708	      0.07290877	      0.07246513
    231.00000000	      2.31000000	      0.04930478	      0.03721804	      0.04138227	      0.04207980	      0.07262422	      0.07180105
    232.00000000	      2.32000000	      0.04980161	      0.03813925	      0.04163874	      0.04297343	      0.07232157	      0.07074617
    233.00000000	      2.33000000	      0.05021667	      0.03917060	      0.04192283	      0.04402674	      0.07198631	      0.06950189
    234.00000000	      2.34000000	      0.05050000	      0.04015952	      0.04215775	      0.04498553	      0.07170906	      0.06836800
    235.00000000	      2.35000000	      0.05122056	      0.04094881	      0.04279131	      0.04565679	      0.07096120	      0.06757322
    236.00000000	      2.36000000	      0.05173419	      0.04159369	      0.04319795	      0.04613359	      0.07048104	      0.06700814
    237.00000000	      2.37000000	      0.05173313	      0.04223482	      0.04308335	      0.04656247	      0.07061637	      0.06649944
    238.00000000	      2.38000000	      0.05186101	      0.04287061	      0.04299834	      0.04693795	      0.07071675	      0.06605372
    239.00000000	      2.39000000	      0.05236881	      0.04358159	      0.04317696	      0.04729611	      0.07050582	      0.06562823
    240.00000000	      2.40000000	      0.05316511	      0.04439237	      0.04356500	      0.04764994	      0.07004750	      0.06520756
    241.00000000	      2.41000000	      0.05380281	      0.04512808	      0.04367540	      0.04789515	      0.06991707	      0.06491584
    242.00000000	      2.42000000	      0.05449175	      0.04576613	      0.04379429	      0.04804689	      0.06977659	      0.06473522
    243.00000000	      2.43000000	      0.05461872	      0.04656159	      0.04404224	      0.04832916	      0.06948357	      0.06439906
