UNKNOWN
version=1
nRows=1928
nColumns=8
inDegrees=no
endheader
time	Coordinates(Deg.)	med_gas_l	med_gas_r	soleus_l	soleus_r	tib_ant_l	tib_ant_r
   1560.00000000	     15.60000000	      0.05994641	      0.08569930	      0.03875673	      0.04749786	      0.07572456	      0.06538842
   1561.00000000	     15.61000000	      0.06061581	      0.08599840	      0.03915055	      0.04763489	      0.07525904	      0.06522547
   1562.00000000	     15.62000000	      0.06126996	      0.08629740	      0.03946671	      0.04778176	      0.07488548	      0.06505075
   1563.00000000	     15.63000000	      0.06193456	      0.08659679	      0.03972726	      0.04794005	      0.07457773	      0.06486240
   1564.00000000	     15.64000000	      0.06263265	      0.08689694	      0.03995068	      0.04811100	      0.07431392	      0.06465889
   1565.00000000	     15.65000000	      0.06338186	      0.08719808	      0.04014946	      0.04829543	      0.07407922	      0.06443924
   1566.00000000	     15.66000000	      0.06419285	      0.08750029	      0.04032931	      0.04849358	      0.07386691	      0.06420315
   1567.00000000	     15.67000000	      0.06506874	      0.08780339	      0.04048957	      0.04870491	      0.07367774	      0.06395121
   1568.00000000	     15.68000000	      0.06600297	      0.08810683	      0.04062487	      0.04892801	      0.07351805	      0.06368509
   1569.00000000	     15.69000000	      0.06698117	      0.08840948	      0.04072730	      0.04916046	      0.07339716	      0.06340765
   1570.00000000	     15.70000000	      0.06798318	      0.08870947	      0.04078886	      0.04939880	      0.07332451	      0.06312300
   1571.00000000	     15.71000000	      0.06929065	      0.08900406	      0.04080356	      0.04963865	      0.07330716	      0.06283634
   1572.00000000	     15.72000000	      0.07032948	      0.08928959	      0.04076905	      0.04987497	      0.07334789	      0.06255371
   1573.00000000	     15.73000000	      0.07138573	      0.08956156	      0.04068737	      0.05010858	      0.07344429	      0.06228140
   1574.00000000	     15.74000000	      0.07245615	      0.08981495	      0.04056486	      0.05032062	      0.07358889	      0.06202528
   1575.00000000	     15.75000000	      0.07353479	      0.09005472	      0.04041129	      0.05051529	      0.07377014	      0.06178991
   1576.00000000	     15.76000000	      0.07460547	      0.09025482	      0.04023832	      0.05069062	      0.07397432	      0.06157775
   1577.00000000	     15.77000000	      0.07564120	      0.09042391	      0.04005757	      0.05084702	      0.07418771	      0.06138834
   1578.00000000	     15.78000000	      0.07660674	      0.09056076	      0.03987866	      0.05098763	      0.07439895	      0.06121792
   1579.00000000	     15.79000000	      0.07745006	      0.09066634	      0.03970751	      0.05111832	      0.07460106	      0.06105942
   1580.00000000	     15.80000000	      0.07813449	      0.09074369	      0.03954527	      0.05124711	      0.07479269	      0.06090312
   1581.00000000	     15.81000000	      0.07864049	      0.09079709	      0.03938801	      0.05138315	      0.07497846	      0.06073793
   1582.00000000	     15.82000000	      0.07895801	      0.09083073	      0.03922741	      0.05153501	      0.07516821	      0.06055337
   1583.00000000	     15.83000000	      0.07908179	      0.09084680	      0.03905225	      0.05170868	      0.07537520	      0.06034212
   1584.00000000	     15.84000000	      0.07900825	      0.09084323	      0.03885062	      0.05190529	      0.07561356	      0.06010273
   1585.00000000	     15.85000000	      0.07873887	      0.09081158	      0.03861242	      0.05211895	      0.07589523	      0.05984230
   1586.00000000	     15.86000000	      0.07828324	      0.09073533	      0.03833192	      0.05233505	      0.07622708	      0.05957855
   1587.00000000	     15.87000000	      0.07766080	      0.09058917	      0.03800976	      0.05252950	      0.07660844	      0.05934096
   1588.00000000	     15.88000000	      0.07690130	      0.09033935	      0.03765415	      0.05266895	      0.07702973	      0.05917041
   1589.00000000	     15.89000000	      0.07604398	      0.08993461	      0.03728090	      0.05271237	      0.07747233	      0.05911727
   1590.00000000	     15.90000000	      0.07513558	      0.08934709	      0.03691228	      0.05261381	      0.07790993	      0.05923786
   1591.00000000	     15.91000000	      0.07422898	      0.08852148	      0.03657475	      0.05232626	      0.07831109	      0.05958928
   1592.00000000	     15.92000000	      0.07337889	      0.08741466	      0.03629604	      0.05180644	      0.07864272	      0.06022313
