Filtered (MAV) muscles activityendheader

time	SOL_L	SOL_R	TA_L	TA_R	GL_L	GL_R
40.07250000	0.00003166	0.00018332	0.00007904	0.00014453	0.00003008	0.00015419
40.07300000	0.00003211	0.00018229	0.00007916	0.00014460	0.00003017	0.00015405
40.07350000	0.00003259	0.00018127	0.00007917	0.00014459	0.00003024	0.00015421
40.07400000	0.00003307	0.00018054	0.00007936	0.00014461	0.00003029	0.00015457
40.07450000	0.00003354	0.00018016	0.00007972	0.00014469	0.00003033	0.00015484
40.07500000	0.00003404	0.00018014	0.00007993	0.00014489	0.00003036	0.00015491
40.07550000	0.00003455	0.00018007	0.00007997	0.00014517	0.00003038	0.00015494
40.07600000	0.00003491	0.00017982	0.00007995	0.00014555	0.00003041	0.00015493
40.07650000	0.00003504	0.00017950	0.00007993	0.00014610	0.00003045	0.00015488
40.07700000	0.00003499	0.00017932	0.00007992	0.00014664	0.00003050	0.00015481
40.07750000	0.00003492	0.00017931	0.00008004	0.00014699	0.00003054	0.00015476
40.07800000	0.00003502	0.00017935	0.00008046	0.00014718	0.00003055	0.00015474
40.07850000	0.00003531	0.00017942	0.00008124	0.00014724	0.00003055	0.00015464
40.07900000	0.00003581	0.00017960	0.00008209	0.00014724	0.00003053	0.00015447
40.07950000	0.00003651	0.00017962	0.00008270	0.00014729	0.00003051	0.00015431
40.08000000	0.00003718	0.00017923	0.00008295	0.00014730	0.00003048	0.00015422
40.08050000	0.00003759	0.00017873	0.00008296	0.00014727	0.00003045	0.00015422
40.08100000	0.00003772	0.00017858	0.00008293	0.00014724	0.00003044	0.00015420
40.08150000	0.00003772	0.00017869	0.00008297	0.00014723	0.00003050	0.00015405
40.08200000	0.00003771	0.00017868	0.00008314	0.00014723	0.00003060	0.00015391
40.08250000	0.00003774	0.00017812	0.00008325	0.00014722	0.00003069	0.00015387
40.08300000	0.00003781	0.00017708	0.00008326	0.00014722	0.00003080	0.00015387
40.08350000	0.00003789	0.00017623	0.00008327	0.00014734	0.00003093	0.00015388
40.08400000	0.00003792	0.00017575	0.00008329	0.00014756	0.00003104	0.00015389
40.08450000	0.00003792	0.00017556	0.00008329	0.00014763	0.00003114	0.00015390
40.08500000	0.00003792	0.00017555	0.00008336	0.00014765	0.00003123	0.00015386
40.08550000	0.00003792	0.00017553	0.00008356	0.00014812	0.00003133	0.00015378
40.08600000	0.00003791	0.00017552	0.00008391	0.00014872	0.00003143	0.00015376
40.08650000	0.00003794	0.00017553	0.00008431	0.00014889	0.00003154	0.00015379
40.08700000	0.00003801	0.00017550	0.00008476	0.00014887	0.00003161	0.00015384
40.08750000	0.00003808	0.00017545	0.00008523	0.00014887	0.00003167	0.00015383
40.08800000	0.00003818	0.00017545	0.00008572	0.00014886	0.00003172	0.00015379
40.08850000	0.00003837	0.00017531	0.00008650	0.00014883	0.00003177	0.00015370
40.08900000	0.00003848	0.00017510	0.00008764	0.00014871	0.00003181	0.00015345
40.08950000	0.00003847	0.00017506	0.00008857	0.00014848	0.00003182	0.00015306
40.09000000	0.00003853	0.00017504	0.00008883	0.00014820	0.00003181	0.00015275
40.09050000	0.00003864	0.00017490	0.00008883	0.00014792	0.00003182	0.00015263
40.09100000	0.00003870	0.00017476	0.00008903	0.00014771	0.00003186	0.00015265
40.09150000	0.00003876	0.00017472	0.00008942	0.00014757	0.00003186	0.00015267
40.09200000	0.00003892	0.00017472	0.00008973	0.00014747	0.00003188	0.00015254
40.09250000	0.00003906	0.00017473	0.00008985	0.00014745	0.00003191	0.00015213
40.09300000	0.00003908	0.00017470	0.00008988	0.00014749	0.00003192	0.00015112
40.09350000	0.00003910	0.00017429	0.00008989	0.00014751	0.00003194	0.00014941
40.09400000	0.00003917	0.00017341	0.00008991	0.00014745	0.00003196	0.00014765
40.09450000	0.00003920	0.00017237	0.00008999	0.00014738	0.00003198	0.00014656
40.09500000	0.00003920	0.00017140	0.00009009	0.00014735	0.00003198	0.00014624
40.09550000	0.00003919	0.00017088	0.00009013	0.00014736	0.00003199	0.00014623
40.09600000	0.00003918	0.00017082	0.00009012	0.00014738	0.00003206	0.00014621
40.09650000	0.00003915	0.00017077	0.00009014	0.00014740	0.00003214	0.00014616
40.09700000	0.00003912	0.00017048	0.00009013	0.00014744	0.00003219	0.00014616
40.09750000	0.00003908	0.00016992	0.00009014	0.00014745	0.00003224	0.00014591
40.09800000	0.00003906	0.00016873	0.00009030	0.00014734	0.00003231	0.00014543
40.09850000	0.00003920	0.00016624	0.00009048	0.00014697	0.00003240	0.00014516
40.09900000	0.00003958	0.00016270	0.00009049	0.00014628	0.00003253	0.00014505
40.09950000	0.00004015	0.00015893	0.00009046	0.00014553	0.00003271	0.00014497
40.10000000	0.00004082	0.00015635	0.00009046	0.00014494	0.00003291	0.00014497
40.10050000	0.00004147	0.00015598	0.00009051	0.00014461	0.00003307	0.00014439
40.10100000	0.00004190	0.00015588	0.00009075	0.00014447	0.00003315	0.00014230
40.10150000	0.00004203	0.00015527	0.00009132	0.00014443	0.00003316	0.00013952
40.10200000	0.00004203	0.00015420	0.00009222	0.00014443	0.00003316	0.00013710
40.10250000	0.00004206	0.00015275	0.00009344	0.00014436	0.00003317	0.00013493
40.10300000	0.00004218	0.00015136	0.00009487	0.00014405	0.00003321	0.00013300
40.10350000	0.00004243	0.00015042	0.00009626	0.00014343	0.00003330	0.00013171
40.10400000	0.00004268	0.00014999	0.00009720	0.00014266	0.00003337	0.00013123
40.10450000	0.00004290	0.00014984	0.00009734	0.00014200	0.00003340	0.00013122
40.10500000	0.00004309	0.00014977	0.00009757	0.00014150	0.00003339	0.00013117
40.10550000	0.00004320	0.00014973	0.00009904	0.00014110	0.00003337	0.00013094
40.10600000	0.00004320	0.00014970	0.00010141	0.00014080	0.00003337	0.00013071
40.10650000	0.00004317	0.00014968	0.00010381	0.00014066	0.00003337	0.00013054
40.10700000	0.00004317	0.00014966	0.00010588	0.00014066	0.00003336	0.00013033
40.10750000	0.00004338	0.00014961	0.00010740	0.00014065	0.00003335	0.00012998
40.10800000	0.00004366	0.00014956	0.00010808	0.00014058	0.00003334	0.00012963
40.10850000	0.00004386	0.00014955	0.00010797	0.00014044	0.00003334	0.00012946
40.10900000	0.00004399	0.00014956	0.00010873	0.00014034	0.00003335	0.00012944
40.10950000	0.00004407	0.00014955	0.00011108	0.00014031	0.00003336	0.00012945
40.11000000	0.00004414	0.00014951	0.00011299	0.00014031	0.00003336	0.00012944
40.11050000	0.00004420	0.00014951	0.00011375	0.00014031	0.00003336	0.00012944
40.11100000	0.00004422	0.00014949	0.00011395	0.00014020	0.00003335	0.00012944
