Toe y trajetcoriesendheader

time	leftToe	rightToe
48.22800000	96.80034076	31.77234028
48.23000000	95.07240700	31.92659908
48.23200000	93.24058336	32.11974376
48.23400000	91.31711680	32.25530466
48.23600000	89.39952244	32.37294087
48.23800000	87.31316550	32.58834412
48.24000000	85.13358203	32.78677370
48.24200000	82.58332956	33.11103563
48.24400000	79.82546555	33.30582162
48.24600000	76.45835078	33.70728346
48.24800000	72.41602467	33.92178860
48.25000000	68.41685643	34.32881230
48.25200000	64.83073523	34.67612828
48.25400000	60.97842261	35.16520802
48.25600000	58.18892657	35.61993564
48.25800000	55.69482425	36.27678524
48.26000000	53.72327576	36.88346087
48.26200000	52.10349644	37.60959724
48.26400000	50.85221533	38.44148955
48.26600000	50.02487802	39.28919452
48.26800000	49.36643596	40.21712204
48.27000000	48.49688674	41.36490445
48.27200000	47.46252289	42.53401908
48.27400000	46.08644316	43.69629751
48.27600000	44.51687895	45.11283504
48.27800000	42.95117645	46.50463842
48.28000000	41.49392467	47.93557456
48.28200000	40.12512232	49.61580196
48.28400000	38.93852231	51.40756598
48.28600000	37.98899985	53.28222346
48.28800000	37.41268570	55.15402121
48.29000000	36.86936012	57.09931243
48.29200000	36.39785968	59.25276035
48.29400000	35.90010635	61.39702166
48.29600000	35.41834157	63.64691528
48.29800000	34.86624563	65.91792040
48.30000000	34.55125495	68.21217665
48.30200000	34.12117573	70.51789734
48.30400000	34.31491652	72.91843720
48.30600000	34.16510290	75.39643729
48.30800000	33.87178370	77.76734928
48.31000000	33.65143897	80.18413776
48.31200000	33.50060343	82.46038866
48.31400000	33.35884021	84.78932016
48.31600000	33.22727922	86.97431548
48.31800000	32.98834595	89.05421129
48.32000000	32.95988524	91.14968456
48.32200000	32.96405128	93.07736247
48.32400000	32.82442833	95.04784930
48.32600000	32.80322505	96.96383752
48.32800000	32.69417180	98.76215953
48.33000000	32.65531153	100.49483285
48.33200000	32.47599734	102.17892311
48.33400000	32.35958653	103.77535120
48.33600000	32.34153260	105.22383541
48.33800000	32.26693163	106.65568022
48.34000000	32.32870770	107.98919668
48.34200000	32.28450740	109.33276745
48.34400000	31.99282646	110.51129315
48.34600000	32.14351863	111.61991640
48.34800000	32.05396868	112.57874782
48.35000000	31.95409142	113.47758766
48.35200000	31.95440331	114.08225353
48.35400000	31.77554359	114.63029965
48.35600000	31.73092610	115.17485942
48.35800000	31.74436852	115.56082767
48.36000000	31.81293708	115.91954383
48.36200000	31.77925063	116.15481007
48.36400000	31.77230446	116.36608714
48.36600000	31.56220455	116.47786983
48.36800000	31.65000537	116.56179159
48.37000000	31.57275679	116.49929974
