ANALOG
2000.000000,Hz
Sample #,Fx1,Fy1,Fz1,Mx1,My1,Mz1,RMG,LMG,RTA,LTA,SPEED,MP,S1,SYNC
Units:,N,N,N,Nmm,Nmm,Nmm,V,V,V,V,V,V,V,V
881,0.685293,0.007867,-0.986153,39.756371,36.196373,2.199314,0.000043,0.000001,0.000001,0.000001,-0.046878,0.017590,0.001678,1.249962
882,0.578270,0.014719,-1.143728,17.998058,11.865788,12.147205,0.000024,-0.000010,0.000005,0.000003,-0.050540,0.020642,0.001831,1.249962
883,0.616137,-0.093194,-1.294734,18.475605,14.235386,-0.706780,0.000029,-0.000004,-0.000009,0.000003,-0.052829,0.018201,0.000877,1.249962
884,0.650137,-0.002660,-1.091145,8.508529,16.933681,12.121932,0.000022,0.000011,-0.000002,0.000012,-0.050540,0.018048,0.001450,1.249962
885,0.551262,-0.010727,-1.166570,14.762287,14.378321,17.900364,0.000006,0.000005,-0.000004,0.000007,-0.051303,0.016827,0.001450,1.249962
886,0.647167,-0.045791,-1.308449,9.144403,12.455283,7.078288,-0.000007,-0.000004,-0.000002,0.000006,-0.054202,0.015912,0.000801,0.342331
887,0.608199,0.002890,-1.172097,7.217213,26.435463,11.724181,0.000021,0.000008,-0.000002,0.000003,-0.052371,0.015759,0.000381,0.345154
888,0.538857,-0.112690,-1.245761,18.821993,28.724194,-0.199540,-0.000039,0.000020,-0.000005,0.000004,-0.050998,0.016980,0.000572,0.340767
889,0.554647,-0.043434,-1.289730,16.396740,0.198915,1.101379,0.000016,0.000020,0.000007,0.000003,-0.050540,0.016522,0.000725,0.337257
890,0.501683,-0.059818,-1.183892,9.763465,13.594594,-3.704451,0.000023,0.000007,-0.000005,0.000004,-0.052219,0.016980,0.000191,0.339966
891,0.654698,-0.019500,-1.172841,51.997169,34.273804,-16.475088,0.000007,-0.000003,-0.000002,0.000005,-0.048709,0.016827,0.000954,1.249962
892,0.536468,-0.017375,-1.110714,19.300720,18.272724,-13.800632,0.000001,0.000000,-0.000001,0.000002,-0.050082,0.010266,0.001259,1.249962
893,0.486120,-0.006576,-1.252625,11.380410,20.324677,-0.425334,-0.000011,-0.000011,-0.000005,0.000014,-0.051456,0.003705,0.000954,1.249962
894,0.415705,0.149963,-1.138290,0.803830,24.960308,5.925529,-0.000002,-0.000005,-0.000005,0.000003,-0.051151,0.017438,0.000076,1.249962
895,0.574739,0.026718,-1.148499,11.528459,18.643892,0.636596,0.000026,-0.000014,-0.000008,0.000005,-0.052066,0.019421,0.001106,1.249962
896,0.531381,0.086278,-1.234849,20.755138,24.010370,-4.219625,0.000045,-0.000003,-0.000003,0.000008,-0.055728,0.016217,0.000801,0.342865
897,0.422770,0.045020,-1.322019,-4.298410,28.491032,5.784206,0.000032,-0.000001,-0.000003,-0.000005,-0.051303,0.015302,0.000763,0.346909
898,0.424690,0.113420,-1.214408,17.650145,10.484457,4.691871,-0.000008,-0.000003,-0.000001,0.000020,-0.051303,0.015454,0.001488,0.334358
899,0.426068,0.049380,-1.179880,18.708492,20.539581,9.034782,-0.000082,0.000002,0.000002,-0.000003,-0.053134,0.016370,0.000687,0.342751
900,0.446228,0.041825,-1.285922,8.788037,17.842215,3.010778,-0.000050,0.000008,-0.000002,0.000001,-0.051151,0.016675,0.000458,0.347633
901,0.573052,-0.037853,-0.935467,36.912121,41.113850,-9.600619,0.000004,0.000006,0.000001,0.000001,-0.048404,0.016980,0.000763,1.249962
902,0.429697,0.008012,-1.296867,2.484521,27.684994,2.770447,0.000079,0.000006,0.000007,0.000002,-0.050540,0.010419,0.002632,1.249962
903,0.521487,0.049007,-1.200014,3.628030,8.135658,16.911980,0.000069,-0.000001,0.000006,0.000007,-0.051456,0.013623,0.000877,1.249962
904,0.489947,-0.005581,-1.308297,18.467060,15.178591,15.589170,0.000025,-0.000003,0.000003,0.000004,-0.050082,0.018353,0.001831,1.249962
905,0.456628,-0.023771,-1.184620,8.067832,19.578243,5.423989,-0.000101,0.000000,0.000000,0.000005,-0.050540,0.017896,0.000687,1.249962
906,0.467852,0.003411,-1.265345,45.162067,32.073776,9.309912,0.000051,0.000014,-0.000004,0.000005,-0.054965,0.016675,0.000992,0.342026
907,0.465146,0.002607,-1.250030,15.068183,21.354134,10.286709,0.000039,0.000012,-0.000004,0.000001,-0.052219,0.014233,0.001297,0.343895
908,0.484375,-0.002509,-1.313469,16.805162,9.658336,8.410088,0.000009,-0.000014,-0.000006,0.000006,-0.049319,0.017285,0.000191,0.340843
909,0.465326,-0.003125,-1.088889,10.858436,18.267372,12.369125,0.000002,0.000006,-0.000004,-0.000002,-0.051913,0.014844,0.000610,0.342293
910,0.452679,-0.005843,-1.315846,18.714327,17.697556,4.450474,0.000011,0.000010,-0.000004,0.000007,-0.051456,0.015454,0.001602,0.336571
911,0.572444,-0.037156,-0.957704,25.427849,38.047695,-7.524122,0.000018,0.000005,0.000002,-0.000002,-0.048251,0.016980,0.001869,1.249962
912,0.440530,-0.026694,-1.263962,5.184141,20.527308,8.054582,0.000011,-0.000009,-0.000001,0.000011,-0.050845,0.024152,0.001144,1.249962
913,0.419709,-0.074615,-1.224526,5.449147,30.309174,-9.618608,0.000048,-0.000010,-0.000004,0.000003,-0.051303,0.016522,0.000725,1.249962
914,0.337434,-0.083159,-1.200127,13.459375,18.736652,-6.288638,-0.000015,0.000008,-0.000000,0.000001,-0.050082,0.017743,0.001373,1.249962
915,0.351332,-0.062771,-1.161938,14.836961,12.842857,-0.395921,-0.000044,0.000015,0.000002,0.000005,-0.051303,0.018506,0.000191,1.249962
916,0.310467,-0.054324,-1.109058,-8.832265,7.401424,-4.080641,0.000011,0.000022,0.000002,0.000009,-0.054965,0.016522,0.000954,0.345306
917,0.377580,-0.062228,-1.110064,8.532226,19.183853,-7.305607,-0.000043,-0.000015,-0.000001,0.000007,-0.050845,0.016370,0.000839,0.346756
918,0.409984,-0.070291,-1.261378,9.355098,20.162699,-3.885224,-0.000009,-0.000005,0.000003,0.000007,-0.050388,0.016827,0.000305,0.344276
919,0.477226,-0.073109,-1.354452,6.056194,16.021381,-2.502507,0.000003,-0.000005,0.000008,0.000002,-0.049014,0.016980,0.000648,0.346260
920,0.504917,-0.077133,-1.297938,-4.501830,23.166447,-5.035459,0.000018,-0.000004,0.000009,0.000007,-0.053134,0.016980,0.000916,0.347366
921,0.826165,-0.095888,-1.092224,28.740294,36.733822,-23.738495,-0.000011,-0.000013,0.000001,0.000005,-0.048251,0.018048,0.001068,1.249962
922,0.589908,-0.058718,-1.316858,-3.817600,8.227303,-0.523148,0.000010,-0.000014,-0.000001,0.000001,-0.050845,0.015149,0.000877,1.249962
923,0.457664,-0.098473,-1.258015,19.165508,13.390898,-15.021008,0.000028,0.000004,-0.000008,0.000004,-0.050235,0.017743,0.000916,1.249962
924,0.625471,-0.094270,-1.276811,15.742231,15.246281,-1.566795,0.000032,0.000022,-0.000005,0.000006,-0.051608,0.017590,0.000763,1.249962
925,0.509035,-0.065602,-1.072816,3.829228,35.598660,-4.097118,0.000033,0.000020,-0.000002,-0.000000,-0.050388,0.017896,0.000648,1.249962
926,0.417478,-0.089914,-1.207217,11.733541,21.168121,4.063892,0.000020,0.000020,-0.000004,-0.000004,-0.053134,0.017285,0.001259,0.343742
927,0.429881,-0.055550,-1.260843,9.918669,15.171667,1.745291,0.000006,-0.000009,0.000000,0.000014,-0.052066,0.016827,0.000534,0.338669
928,0.475065,-0.076098,-1.283431,8.353954,27.644274,3.701106,0.000007,-0.000010,-0.000002,0.000009,-0.052066,0.013013,0.001030,0.343056
929,0.408867,-0.062662,-1.232060,-3.527889,11.535600,0.527538,0.000015,-0.000003,0.000012,0.000003,-0.051303,0.016522,0.000114,0.338173
930,0.660064,-0.053362,-1.337649,1.650854,20.716782,11.362970,0.000011,0.000006,-0.000001,0.000005,-0.050388,0.017133,0.001335,0.343628
931,0.628215,-0.085251,-0.884881,36.946030,38.222527,-15.071177,-0.000007,-0.000003,-0.000004,0.000008,-0.048557,0.006604,-0.001564,1.249962
932,0.431512,-0.039004,-1.309815,19.112062,6.682703,7.794632,-0.000017,-0.000019,-0.000000,0.000009,-0.050388,0.016370,0.000572,1.249962
933,0.345703,-0.029155,-1.243257,12.489217,8.433498,-10.017168,-0.000024,-0.000001,-0.000003,0.000007,-0.051151,0.019116,0.001144,1.249962
934,0.529056,-0.063154,-1.233577,3.749743,16.292114,-2.594018,-0.000003,0.000002,-0.000000,0.000006,-0.053287,0.017438,0.000381,1.249962
935,0.458099,0.022745,-1.320772,11.248634,13.186953,3.327298,0.000001,0.000001,0.000001,0.000009,-0.050388,0.016064,0.000572,1.249962
936,0.517264,-0.024472,-1.233498,21.845161,6.637601,6.327953,0.000018,-0.000009,-0.000000,0.000005,-0.054355,0.016522,0.001450,0.338478
937,0.592820,-0.048407,-1.282190,20.377947,10.651608,-1.758875,0.000029,-0.000004,0.000000,0.000004,-0.051608,0.016064,0.000534,0.347252
938,0.621485,-0.025375,-1.281025,8.854204,17.590805,-1.537274,0.000015,0.000021,-0.000010,0.000005,-0.051608,0.016522,0.000038,0.343513
