TRAJECTORIES
200.000000,Hz
LCrest_X,LCrest_Y,LCrest_Z,LHip_X,LHip_Y,LHip_Z,LKnee_X,LKnee_Y,LKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,LMTP_X,LMTP_Y,LMTP_Z,LTip_X,LTip_Y,LTip_Z,RCrest_X,RCrest_Y,RCrest_Z,RHip_X,RHip_Y,RHip_Z,RKnee_X,RKnee_Y,RKnee_Z,RAnkle_X,RAnkle_Y,RAnkle_Z,RMTP_X,RMTP_Y,RMTP_Z,RTip_X,RTip_Y,RTip_Z,COP_FP1_X,COP_FP1_Y,COP_FP1_Z,RawCentreFP1_X,RawCentreFP1_Y,RawCentreFP1_Z,VECTIP_FP1_X,VECTIP_FP1_Y,VECTIP_FP1_Z,Force_FP1_X,Force_FP1_Y,Force_FP1_Z,RawForceFP1_X,RawForceFP1_Y,RawForceFP1_Z,RawMomentFP1_X,RawMomentFP1_Y,RawMomentFP1_Z
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1951,58.611794,107.447960,88.413742,59.283657,93.756470,65.530067,60.834072,120.046593,50.886688,55.183586,84.132172,18.305679,57.229439,75.321960,2.902908,56.834053,72.508766,1.857570,88.182747,102.783348,92.254303,94.526268,92.543510,68.191833,92.282318,126.127716,58.314354,84.511070,113.147873,14.718052,84.235603,125.156044,4.166394,86.138191,135.145416,1.357026,67.864136,105.743515,0.000000,81.000000,76.000000,0.000000,67.841095,106.722511,1.700032,67.841095,106.722511,1.700032,-0.023044,0.978996,1.700032,50.564922,22.331375,10.178398
1952,58.742126,107.645111,88.438171,59.417107,94.029022,65.571152,60.680305,120.177124,50.790150,55.117775,83.835976,18.322828,57.179974,74.752068,3.043078,56.804966,72.108833,1.918284,88.382088,103.239426,92.217758,94.708565,93.075256,68.018982,92.266914,126.705338,58.177082,84.470650,112.957664,14.818157,84.206444,124.805496,4.169221,86.237839,134.795502,1.477967,69.346527,119.654572,0.000000,81.000000,76.000000,0.000000,69.326286,120.516899,1.708005,69.326286,120.516899,1.708005,-0.020244,0.862325,1.708005,74.562248,19.904181,19.988770
1953,58.938725,107.871391,88.502670,59.662319,94.302956,65.671478,60.589554,120.211761,50.733318,55.102814,83.516670,18.405827,57.181347,74.159058,3.249096,56.790096,71.694801,1.991546,88.562973,103.687088,92.222389,94.899574,93.520081,67.988525,92.192673,127.070023,58.126682,84.444336,112.754837,14.987864,84.193184,124.449791,4.227251,86.122986,134.358246,1.404066,56.786942,109.214165,0.000000,81.000000,76.000000,0.000000,56.705887,110.085686,1.928113,56.705887,110.085686,1.928113,-0.081053,0.871523,1.928113,64.040657,46.685497,18.545631
1954,59.058376,108.073219,88.643356,59.835918,94.488556,65.816948,60.557610,120.185898,50.722847,55.131134,83.192162,18.470293,57.226009,73.560860,3.436586,56.794926,71.302338,2.073567,88.696556,104.010551,92.311378,95.065475,93.827095,68.004616,92.144882,127.341492,58.167389,84.423790,112.529877,15.197019,84.184067,124.069000,4.240982,86.250755,133.969086,1.524125,62.368660,114.681648,0.000000,81.000000,76.000000,0.000000,62.185730,115.540131,1.876599,62.185730,115.540131,1.876599,-0.182931,0.858479,1.876599,72.589958,34.963551,35.047085
1955,59.129787,108.189514,88.800400,60.011753,94.635391,65.991226,60.578865,120.093605,50.737228,55.081524,82.825569,18.638474,57.192738,72.920563,3.727786,56.445560,70.834045,1.584073,88.794395,104.300797,92.448448,95.236153,94.126633,68.130119,92.170502,127.508095,58.244274,84.562874,112.311867,15.434673,84.211868,123.641357,4.256727,86.218224,133.464142,1.516387,68.943008,111.380379,0.000000,81.000000,76.000000,0.000000,68.854240,112.036812,1.699208,68.854240,112.036812,1.699208,-0.088766,0.656437,1.699208,60.118641,20.487337,27.148006
1956,59.192039,108.248573,88.995895,60.135284,94.738220,66.203285,60.661854,119.943207,50.788773,55.174221,82.445412,18.760469,57.301773,72.266708,3.972800,56.869522,70.462288,2.312133,88.840553,104.437065,92.668365,95.324600,94.287651,68.320709,92.389580,127.671097,58.448540,84.742851,112.134628,15.672733,84.305862,123.316315,4.300070,86.201508,133.050430,1.481583,66.905060,116.641762,0.000000,81.000000,76.000000,0.000000,66.851776,117.402634,1.811857,66.851776,117.402634,1.811857,-0.053283,0.760877,1.811857,73.637070,25.538008,32.850552
1957,59.191765,108.233414,89.245560,60.204449,94.802628,66.385925,60.714016,119.808456,50.915848,55.207825,82.101456,18.906494,57.351719,71.649048,4.241845,56.777836,69.953156,2.112425,88.829178,104.485825,92.993294,95.388008,94.398071,68.600716,92.363022,127.681107,58.665550,84.911049,111.922356,15.861811,84.431152,122.926903,4.337937,86.284637,132.630905,1.537890,58.487415,125.475128,0.000000,81.000000,76.000000,0.000000,58.453499,126.187782,1.591308,58.453499,126.187782,1.591308,-0.033917,0.712657,1.591308,78.730171,35.824455,21.100079
1958,59.216980,108.163620,89.547218,60.315742,94.825912,66.582962,60.829411,119.564133,51.086708,55.274300,81.765358,19.103682,57.434536,71.039253,4.562052,56.927982,69.660919,2.524942,88.814064,104.472740,93.352554,95.374954,94.461967,68.898201,92.423996,127.654373,58.999100,85.118179,111.662338,16.093924,84.529007,122.590111,4.379499,86.271622,132.206619,1.543564,62.427597,123.975647,0.000000,81.000000,76.000000,0.000000,62.368172,124.812065,1.571507,62.368172,124.812065,1.571507,-0.059427,0.836418,1.571507,75.394066,29.186651,13.363849
1959,59.167839,108.011337,89.902641,60.450172,94.816833,66.797226,60.844448,119.386169,51.267414,55.344517,81.414284,19.303389,57.521095,70.414474,4.884779,56.982334,69.279335,2.686784,88.763908,104.415016,93.713142,95.323067,94.495895,69.200844,92.446640,127.626305,59.218475,85.176971,111.476112,16.337206,84.561462,122.186928,4.401257,86.345245,131.807892,1.589661,63.644100,122.888214,0.000000,81.000000,76.000000,0.000000,63.638973,123.587227,1.413707,63.638973,123.587227,1.413707,-0.005126,0.699011,1.413707,66.286217,24.536156,12.616424
1960,59.124733,107.778709,90.258987,60.448845,94.781715,67.063080,60.781876,119.169182,51.507927,55.356724,81.097862,19.557507,57.549641,69.824356,5.261920,56.926010,68.940742,2.434111,88.718246,104.336624,94.039680,95.275024,94.520134,69.491554,92.509995,127.523834,59.587017,85.309067,111.271156,16.590948,84.554329,121.814522,4.425229,86.366158,131.332855,1.589450,35.039501,131.130173,0.000000,81.000000,76.000000,0.000000,35.003540,131.726593,0.873391,35.003540,131.726593,0.873391,-0.035960,0.596419,0.873391,48.150204,40.141487,16.430490
