Filtered (MAV) muscles activityendheader

time	SOL_L	SOL_R	TA_L	TA_R	GL_L	GL_R
0.10000000	0.33012835	0.02191213	0.07207831	0.28940410	0.38420597	0.04696613
0.10100000	0.33293930	0.02224675	0.07208435	0.28405605	0.38811275	0.04685167
0.10200000	0.33577459	0.02261923	0.07208213	0.27889746	0.39220347	0.04673401
0.10300000	0.33863427	0.02302806	0.07207102	0.27392475	0.39647631	0.04661378
0.10400000	0.34151832	0.02347166	0.07205045	0.26913407	0.40092876	0.04649162
0.10500000	0.34442666	0.02394834	0.07201985	0.26452132	0.40555755	0.04636816
0.10600000	0.34735913	0.02445636	0.07197866	0.26008215	0.41035873	0.04624405
0.10700000	0.35031549	0.02499390	0.07192637	0.25581201	0.41532764	0.04611994
0.10800000	0.35329541	0.02555907	0.07186249	0.25170617	0.42045892	0.04599647
0.10900000	0.35629846	0.02614991	0.07178655	0.24775973	0.42574658	0.04587428
0.11000000	0.35932410	0.02676445	0.07169815	0.24396769	0.43118395	0.04575398
0.11100000	0.36237166	0.02740062	0.07159691	0.24032490	0.43676372	0.04563618
0.11200000	0.36544036	0.02805636	0.07148250	0.23682615	0.44247800	0.04552147
0.11300000	0.36852928	0.02872953	0.07135463	0.23346616	0.44831827	0.04541041
0.11400000	0.37163733	0.02941801	0.07121309	0.23023959	0.45427550	0.04530351
0.11500000	0.37476331	0.03011961	0.07105768	0.22714110	0.46034008	0.04520129
0.11600000	0.37790583	0.03083216	0.07088830	0.22416533	0.46650191	0.04510419
0.11700000	0.38106336	0.03155346	0.07070488	0.22130693	0.47275041	0.04501263
0.11800000	0.38423418	0.03228134	0.07050743	0.21856060	0.47907456	0.04492699
0.11900000	0.38741641	0.03301359	0.07029601	0.21592108	0.48546290	0.04484760
0.12000000	0.39060801	0.03374805	0.07007074	0.21338316	0.49190361	0.04477472
0.12100000	0.39380675	0.03448254	0.06983182	0.21094175	0.49838451	0.04470858
0.12200000	0.39701021	0.03521493	0.06957949	0.20859181	0.50489310	0.04464936
0.12300000	0.40021582	0.03594311	0.06931409	0.20632844	0.51141661	0.04459716
0.12400000	0.40342082	0.03666500	0.06903600	0.20414686	0.51794204	0.04455204
0.12500000	0.40662230	0.03737856	0.06874567	0.20204241	0.52445615	0.04451400
0.12600000	0.40981717	0.03808180	0.06844361	0.20001059	0.53094556	0.04448298
0.12700000	0.41300218	0.03877277	0.06813041	0.19804706	0.53739675	0.04445886
0.12800000	0.41617393	0.03944959	0.06780671	0.19614765	0.54379613	0.04444145
0.12900000	0.41932889	0.04011043	0.06747321	0.19430836	0.55013004	0.04443051
0.13000000	0.42246339	0.04075353	0.06713066	0.19252538	0.55638480	0.04442576
0.13100000	0.42557362	0.04137720	0.06677989	0.19079512	0.56254680	0.04442683
0.13200000	0.42865569	0.04197981	0.06642177	0.18911416	0.56860247	0.04443332
0.13300000	0.43170560	0.04255983	0.06605722	0.18747932	0.57453836	0.04444477
0.13400000	0.43471926	0.04311579	0.06568720	0.18588763	0.58034118	0.04446067
0.13500000	0.43769254	0.04364633	0.06531274	0.18433636	0.58599782	0.04448045
0.13600000	0.44062123	0.04415015	0.06493487	0.18282299	0.59149541	0.04450352
0.13700000	0.44350111	0.04462607	0.06455470	0.18134525	0.59682137	0.04452924
0.13800000	0.44632794	0.04507297	0.06417335	0.17990113	0.60196342	0.04455691
0.13900000	0.44909747	0.04548986	0.06379196	0.17848885	0.60690963	0.04458583
0.14000000	0.45180551	0.04587582	0.06341172	0.17710689	0.61164846	0.04461526
0.14100000	0.45444788	0.04623005	0.06303381	0.17575398	0.61616882	0.04464442
0.14200000	0.45702047	0.04655183	0.06265943	0.17442912	0.62046007	0.04467253
0.14300000	0.45951926	0.04684056	0.06228982	0.17313158	0.62451207	0.04469878
0.14400000	0.46194034	0.04709573	0.06192618	0.17186086	0.62831523	0.04472235
0.14500000	0.46427992	0.04731693	0.06156974	0.17061677	0.63186053	0.04474244
0.14600000	0.46653435	0.04750386	0.06122170	0.16939936	0.63513952	0.04475821
0.14700000	0.46870013	0.04765632	0.06088326	0.16820895	0.63814443	0.04476884
0.14800000	0.47077398	0.04777420	0.06055560	0.16704616	0.64086811	0.04477354
0.14900000	0.47275280	0.04785751	0.06023989	0.16591182	0.64330411	0.04477151
0.15000000	0.47463369	0.04790632	0.05993724	0.16480709	0.64544671	0.04476197
0.15100000	0.47641402	0.04792084	0.05964876	0.16373334	0.64729088	0.04474418
0.15200000	0.47809140	0.04790134	0.05937550	0.16269224	0.64883238	0.04471742
0.15300000	0.47966370	0.04784820	0.05911847	0.16168569	0.65006772	0.04468100
0.15400000	0.48112907	0.04776188	0.05887864	0.16071587	0.65099421	0.04463428
0.15500000	0.48248595	0.04764293	0.05865692	0.15978519	0.65160995	0.04457665
0.15600000	0.48373310	0.04749197	0.05845415	0.15889631	0.65191386	0.04450756
0.15700000	0.48486956	0.04730972	0.05827114	0.15805211	0.65190567	0.04442650
0.15800000	0.48589470	0.04709696	0.05810860	0.15725572	0.65158594	0.04433302
0.15900000	0.48680822	0.04685454	0.05796720	0.15651048	0.65095606	0.04422673
0.16000000	0.48761013	0.04658338	0.05784750	0.15581994	0.65001825	0.04410730
0.16100000	0.48830077	0.04628447	0.05775001	0.15518784	0.64877554	0.04397446
0.16200000	0.48888080	0.04595885	0.05767517	0.15461812	0.64723180	0.04382800
0.16300000	0.48935121	0.04560762	0.05762330	0.15411487	0.64539170	0.04366779
0.16400000	0.48971330	0.04523192	0.05759467	0.15368238	0.64326072	0.04349377
0.16500000	0.48996868	0.04483295	0.05758945	0.15332504	0.64084513	0.04330594
0.16600000	0.49011925	0.04441192	0.05760773	0.15304741	0.63815197	0.04310438
0.16700000	0.49016721	0.04397011	0.05764951	0.15285413	0.63518902	0.04288923
0.16800000	0.49011505	0.04350881	0.05771468	0.15274995	0.63196481	0.04266071
0.16900000	0.48996549	0.04302934	0.05780307	0.15273970	0.62848859	0.04241911
0.17000000	0.48972153	0.04253304	0.05791442	0.15282825	0.62477027	0.04216480
0.17100000	0.48938639	0.04202125	0.05804836	0.15302053	0.62082041	0.04189819
0.17200000	0.48896349	0.04149534	0.05820445	0.15332145	0.61665022	0.04161980
0.17300000	0.48845645	0.04095668	0.05838216	0.15373593	0.61227149	0.04133017
0.17400000	0.48786907	0.04040664	0.05858088	0.15426888	0.60769656	0.04102993
0.17500000	0.48720530	0.03984658	0.05879992	0.15492512	0.60293830	0.04071976
0.17600000	0.48646921	0.03927785	0.05903850	0.15570940	0.59801004	0.04040041
0.17700000	0.48566497	0.03870181	0.05929578	0.15662639	0.59292556	0.04007266
0.17800000	0.48479685	0.03811978	0.05957084	0.15768059	0.58769906	0.03973736
0.17900000	0.48386917	0.03753305	0.05986269	0.15887639	0.58234507	0.03939539
0.18000000	0.48288629	0.03694293	0.06017028	0.16021798	0.57687843	0.03904769
0.18100000	0.48185259	0.03635066	0.06049251	0.16170933	0.57131424	0.03869521
0.18200000	0.48077242	0.03575746	0.06082820	0.16335423	0.56566785	0.03833896
0.18300000	0.47965011	0.03516452	0.06117616	0.16515616	0.55995473	0.03797997
0.18400000	0.47848996	0.03457301	0.06153512	0.16711837	0.55419050	0.03761926
0.18500000	0.47729615	0.03398403	0.06190378	0.16924378	0.54839085	0.03725792
0.18600000	0.47607280	0.03339866	0.06228081	0.17153500	0.54257148	0.03689701
0.18700000	0.47482390	0.03281793	0.06266486	0.17399431	0.53674806	0.03653762
0.18800000	0.47355333	0.03224283	0.06305455	0.17662359	0.53093619	0.03618083
0.18900000	0.47226480	0.03167430	0.06344848	0.17942437	0.52515133	0.03582772
0.19000000	0.47096186	0.03111324	0.06384526	0.18239775	0.51940876	0.03547936
0.19100000	0.46964788	0.03056049	0.06424346	0.18554443	0.51372354	0.03513682
0.19200000	0.46832605	0.03001686	0.06464169	0.18886466	0.50811045	0.03480112
0.19300000	0.46699933	0.02948309	0.06503855	0.19235826	0.50258392	0.03447330
0.19400000	0.46567049	0.02895990	0.06543265	0.19602456	0.49715803	0.03415433
0.19500000	0.46434207	0.02844793	0.06582263	0.19986245	0.49184644	0.03384517
0.19600000	0.46301635	0.02794781	0.06620716	0.20387032	0.48666232	0.03354675
0.19700000	0.46169541	0.02746008	0.06658493	0.20804608	0.48161836	0.03325995
0.19800000	0.46038104	0.02698528	0.06695467	0.21238716	0.47672667	0.03298560
0.19900000	0.45907480	0.02652387	0.06731516	0.21689048	0.47199880	0.03272449
0.20000000	0.45777800	0.02607629	0.06766520	0.22155247	0.46744563	0.03247738
0.20100000	0.45649167	0.02564292	0.06800368	0.22636910	0.46307742	0.03224493
0.20200000	0.45521659	0.02522413	0.06832952	0.23133581	0.45890369	0.03202779
0.20300000	0.45395327	0.02482022	0.06864170	0.23644760	0.45493325	0.03182654
0.20400000	0.45270196	0.02443147	0.06893928	0.24169897	0.45117414	0.03164168
0.20500000	0.45146267	0.02405814	0.06922137	0.24708396	0.44763363	0.03147367
0.20600000	0.45023511	0.02370044	0.06948716	0.25259620	0.44431816	0.03132291
0.20700000	0.44901877	0.02335856	0.06973591	0.25822884	0.44123335	0.03118972
0.20800000	0.44781286	0.02303266	0.06996694	0.26397465	0.43838397	0.03107438
0.20900000	0.44661637	0.02272290	0.07017967	0.26982598	0.43577392	0.03097708
0.21000000	0.44542802	0.02242940	0.07037358	0.27577482	0.43340625	0.03089797
0.21100000	0.44424633	0.02215226	0.07054823	0.28181280	0.43128310	0.03083712
0.21200000	0.44306955	0.02189158	0.07070327	0.28793120	0.42940575	0.03079455
0.21300000	0.44189576	0.02164746	0.07083842	0.29412103	0.42777456	0.03077021
0.21400000	0.44072280	0.02141996	0.07095349	0.30037300	0.42638903	0.03076399
0.21500000	0.43954832	0.02120916	0.07104834	0.30667758	0.42524778	0.03077572
0.21600000	0.43836979	0.02101514	0.07112293	0.31302501	0.42434855	0.03080519
0.21700000	0.43718450	0.02083797	0.07117730	0.31940534	0.42368821	0.03085212
0.21800000	0.43598960	0.02067773	0.07121155	0.32580847	0.42326282	0.03091618
0.21900000	0.43478208	0.02053450	0.07122586	0.33222416	0.42306757	0.03099698
0.22000000	0.43355881	0.02040838	0.07122048	0.33864208	0.42309689	0.03109410
0.22100000	0.43231654	0.02029947	0.07119571	0.34505184	0.42334440	0.03120707
0.22200000	0.43105194	0.02020790	0.07115194	0.35144301	0.42380299	0.03133537
0.22300000	0.42976160	0.02013378	0.07108961	0.35780519	0.42446482	0.03147845
0.22400000	0.42844207	0.02007728	0.07100921	0.36412799	0.42532136	0.03163572
0.22500000	0.42708983	0.02003855	0.07091130	0.37040109	0.42636343	0.03180656
0.22600000	0.42570138	0.02001780	0.07079647	0.37661431	0.42758126	0.03199032
0.22700000	0.42427320	0.02001521	0.07066538	0.38275756	0.42896446	0.03218632
0.22800000	0.42280182	0.02003103	0.07051872	0.38882096	0.43050215	0.03239386
0.22900000	0.42128381	0.02006550	0.07035722	0.39479480	0.43218295	0.03261223
0.23000000	0.41971579	0.02011890	0.07018166	0.40066963	0.43399503	0.03284069
0.23100000	0.41809451	0.02019151	0.06999283	0.40643624	0.43592616	0.03307849
0.23200000	0.41641680	0.02028365	0.06979157	0.41208575	0.43796377	0.03332488
0.23300000	0.41467964	0.02039566	0.06957873	0.41760955	0.44009497	0.03357909
0.23400000	0.41288018	0.02052788	0.06935518	0.42299942	0.44230665	0.03384036
0.23500000	0.41101571	0.02068069	0.06912182	0.42824751	0.44458545	0.03410792
0.23600000	0.40908375	0.02085449	0.06887956	0.43334635	0.44691787	0.03438101
0.23700000	0.40708203	0.02104966	0.06862931	0.43828893	0.44929031	0.03465887
0.23800000	0.40500850	0.02126664	0.06837199	0.44306865	0.45168908	0.03494075
0.23900000	0.40286137	0.02150585	0.06810854	0.44767942	0.45410051	0.03522591
0.24000000	0.40063912	0.02176772	0.06783989	0.45211560	0.45651093	0.03551362
0.24100000	0.39834052	0.02205271	0.06756695	0.45637209	0.45890675	0.03580316
0.24200000	0.39596464	0.02236124	0.06729066	0.46044430	0.46127452	0.03609384
0.24300000	0.39351085	0.02269377	0.06701193	0.46432817	0.46360094	0.03638498
0.24400000	0.39097884	0.02305074	0.06673167	0.46802020	0.46587290	0.03667593
0.24500000	0.38836865	0.02343258	0.06645077	0.47151748	0.46807757	0.03696603
0.24600000	0.38568067	0.02383972	0.06617012	0.47481763	0.47020237	0.03725468
0.24700000	0.38291561	0.02427256	0.06589057	0.47791888	0.47223508	0.03754129
0.24800000	0.38007456	0.02473148	0.06561297	0.48082006	0.47416382	0.03782528
0.24900000	0.37715896	0.02521687	0.06533816	0.48352058	0.47597709	0.03810612
0.25000000	0.37417061	0.02572906	0.06506695	0.48602046	0.47766384	0.03838329
0.25100000	0.37111170	0.02626836	0.06480011	0.48832032	0.47921347	0.03865630
0.25200000	0.36798476	0.02683505	0.06453843	0.49042138	0.48061586	0.03892469
0.25300000	0.36479268	0.02742938	0.06428263	0.49232548	0.48186141	0.03918804
0.25400000	0.36153872	0.02805152	0.06403344	0.49403504	0.48294104	0.03944592
0.25500000	0.35822648	0.02870165	0.06379155	0.49555308	0.48384626	0.03969797
0.25600000	0.35485992	0.02937986	0.06355762	0.49688323	0.48456914	0.03994384
0.25700000	0.35144334	0.03008620	0.06333231	0.49802969	0.48510235	0.04018320
0.25800000	0.34798133	0.03082067	0.06311623	0.49899722	0.48543919	0.04041577
0.25900000	0.34447884	0.03158321	0.06290996	0.49979116	0.48557358	0.04064127
0.26000000	0.34094110	0.03237368	0.06271408	0.50041740	0.48550009	0.04085948
0.26100000	0.33737362	0.03319189	0.06252912	0.50088237	0.48521395	0.04107017
0.26200000	0.33378219	0.03403758	0.06235559	0.50119300	0.48471104	0.04127316
0.26300000	0.33017285	0.03491043	0.06219399	0.50135672	0.48398793	0.04146830
0.26400000	0.32655186	0.03581003	0.06204478	0.50138147	0.48304186	0.04165545
0.26500000	0.32292571	0.03673590	0.06190838	0.50127563	0.48187074	0.04183450
0.26600000	0.31930108	0.03768749	0.06178522	0.50104801	0.48047317	0.04200538
0.26700000	0.31568479	0.03866419	0.06167568	0.50070784	0.47884841	0.04216802
0.26800000	0.31208383	0.03966527	0.06158013	0.50026474	0.47699641	0.04232239
0.26900000	0.30850531	0.04068996	0.06149890	0.49972867	0.47491779	0.04246847
0.27000000	0.30495641	0.04173741	0.06143232	0.49910994	0.47261381	0.04260627
0.27100000	0.30144440	0.04280667	0.06138066	0.49841914	0.47008639	0.04273583
0.27200000	0.29797657	0.04389673	0.06134422	0.49766712	0.46733809	0.04285719
0.27300000	0.29456024	0.04500651	0.06132323	0.49686499	0.46437208	0.04297043
0.27400000	0.29120269	0.04613484	0.06131792	0.49602402	0.46119214	0.04307564
0.27500000	0.28791118	0.04728048	0.06132849	0.49515568	0.45780262	0.04317291
0.27600000	0.28469286	0.04844215	0.06135512	0.49427152	0.45420847	0.04326240
0.27700000	0.28155482	0.04961846	0.06139797	0.49338320	0.45041515	0.04334422
0.27800000	0.27850397	0.05080798	0.06145718	0.49250245	0.44642863	0.04341856
0.27900000	0.27554707	0.05200922	0.06153285	0.49164097	0.44225540	0.04348558
0.28000000	0.27269070	0.05322063	0.06162508	0.49081045	0.43790238	0.04354548
0.28100000	0.26994120	0.05444061	0.06173393	0.49002251	0.43337693	0.04359847
0.28200000	0.26730466	0.05566749	0.06185945	0.48928865	0.42868681	0.04364477
0.28300000	0.26478689	0.05689960	0.06200164	0.48862023	0.42384014	0.04368462
0.28400000	0.26239337	0.05813519	0.06216049	0.48802840	0.41884537	0.04371827
0.28500000	0.26012927	0.05937250	0.06233597	0.48752409	0.41371125	0.04374599
0.28600000	0.25799937	0.06060973	0.06252801	0.48711795	0.40844678	0.04376804
0.28700000	0.25600807	0.06184508	0.06273652	0.48682030	0.40306119	0.04378473
0.28800000	0.25415935	0.06307670	0.06296138	0.48664113	0.39756389	0.04379634
0.28900000	0.25245674	0.06430276	0.06320241	0.48659000	0.39196444	0.04380320
0.29000000	0.25090331	0.06552141	0.06345945	0.48667604	0.38627250	0.04380563
0.29100000	0.24950166	0.06673082	0.06373225	0.48690792	0.38049781	0.04380395
0.29200000	0.24825385	0.06792914	0.06402057	0.48729377	0.37465015	0.04379852
0.29300000	0.24716146	0.06911456	0.06432410	0.48784116	0.36873928	0.04378969
0.29400000	0.24622551	0.07028529	0.06464252	0.48855710	0.36277495	0.04377782
0.29500000	0.24544646	0.07143955	0.06497544	0.48944794	0.35676682	0.04376328
0.29600000	0.24482422	0.07257561	0.06532244	0.49051938	0.35072444	0.04374645
0.29700000	0.24435813	0.07369177	0.06568308	0.49177640	0.34465723	0.04372773
0.29800000	0.24404694	0.07478637	0.06605683	0.49322329	0.33857445	0.04370751
0.29900000	0.24388881	0.07585782	0.06644315	0.49486353	0.33248512	0.04368619
0.30000000	0.24388134	0.07690456	0.06684144	0.49669986	0.32639808	0.04366420
0.30100000	0.24402151	0.07792511	0.06725106	0.49873417	0.32032189	0.04364193
0.30200000	0.24430572	0.07891804	0.06767129	0.50096752	0.31426482	0.04361984
0.30300000	0.24472983	0.07988198	0.06810139	0.50340010	0.30823486	0.04359834
0.30400000	0.24528907	0.08081566	0.06854057	0.50603123	0.30223965	0.04357787
0.30500000	0.24597816	0.08171786	0.06898796	0.50885929	0.29628651	0.04355889
0.30600000	0.24679124	0.08258743	0.06944267	0.51188180	0.29038239	0.04354183
0.30700000	0.24772193	0.08342333	0.06990372	0.51509529	0.28453386	0.04352717
0.30800000	0.24876334	0.08422456	0.07037011	0.51849541	0.27874711	0.04351536
0.30900000	0.24990808	0.08499024	0.07084077	0.52207681	0.27302791	0.04350688
