Toe y trajetcoriesendheader

time	leftToe	rightToe	leftCalf	rightCalf
2.92000000	214.41719055	164.55838013	403.98806763	176.75534058
2.93000000	217.06474304	163.34214783	401.79397583	176.87174988
2.94000000	219.57728577	162.33522034	397.56607056	177.25747681
2.95000000	222.61437988	162.05905151	391.31985474	177.75291443
2.96000000	224.47793579	162.23931885	383.61492920	178.12408447
2.97000000	224.40354919	162.05697632	374.98434448	178.14701843
2.98000000	222.18331909	161.98582458	365.09020996	178.14312744
2.99000000	217.54261780	161.69270325	354.04608154	178.25466919
3.00000000	212.41308594	161.42918396	342.71817017	178.15237427
3.01000000	207.74230957	161.51828003	330.06866455	177.56309509
3.02000000	205.07220459	162.20759583	315.78796387	176.95841980
3.03000000	203.60704041	162.26867676	300.89761353	176.46817017
3.04000000	201.33267212	161.93145752	285.52313232	176.64469910
3.05000000	196.90548706	161.38056946	269.36126709	178.36820984
3.06000000	192.64736938	160.61746216	253.92134094	180.15808105
3.07000000	189.65498352	160.56370544	239.78886414	180.52400208
3.08000000	187.20149231	159.71101379	226.36218262	180.30792236
3.09000000	185.19259644	159.63041687	213.87380981	180.50697327
3.10000000	184.86387634	159.93093872	202.98114014	180.98962402
3.11000000	187.60261536	158.97543335	193.35423279	181.62367249
3.12000000	193.42840576	158.64918518	183.85847473	182.66409302
3.13000000	199.66273499	158.20617676	175.81182861	183.58203125
3.14000000	207.17536926	157.54057312	170.52142334	184.32617188
3.15000000	214.78684998	157.58700562	167.52191162	185.19395447
3.16000000	222.51031494	157.54595947	166.14863586	186.32080078
3.17000000	231.14506531	157.11669922	165.68142700	187.81610107
3.18000000	238.79840088	157.15377808	165.94595337	189.64254761
3.19000000	244.97673035	157.00984192	166.92127991	191.50117493
3.20000000	249.29367065	156.78637695	168.28819275	193.51731873
3.21000000	252.12048340	156.62626648	169.53108215	195.83572388
3.22000000	252.84671021	156.37860107	170.03851318	198.51777649
3.23000000	250.84756470	155.99282837	168.98161316	201.49765015
3.24000000	246.05732727	155.10195923	166.11744690	204.81533813
3.25000000	239.10136414	154.56486511	162.76924133	208.57522583
3.26000000	231.29362488	154.50901794	159.28707886	212.65045166
3.27000000	222.81794739	155.14593506	155.18296814	217.19900513
3.28000000	213.48880005	155.87123108	151.79258728	222.35200500
3.29000000	204.17869568	155.82737732	152.12774658	227.93385315
3.30000000	196.80308533	155.79704285	156.32435608	234.24441528
3.31000000	194.18173218	155.83128357	161.08218384	241.53286743
3.32000000	191.99360657	155.98872375	163.49617004	249.35137939
3.33000000	185.90444946	156.20118713	163.72009277	257.72506714
3.34000000	178.89311218	156.54106140	163.98654175	267.06079102
3.35000000	174.29151917	156.86705017	164.54647827	277.37051392
3.36000000	171.49024963	157.33120728	165.20068359	288.40994263
3.37000000	170.63354492	158.10295105	165.80397034	299.82089233
3.38000000	170.13569641	159.19880676	166.19609070	311.14865112
3.39000000	169.63479614	160.13114929	166.37156677	322.22042847
3.40000000	168.54769897	160.69801331	166.15333557	332.39779663
3.41000000	167.84849548	161.03114319	165.85604858	341.27062988
3.42000000	167.65359497	162.88591003	165.51182556	349.54968262
3.43000000	167.80836487	166.45246887	165.23568726	357.91470337
3.44000000	167.77726746	170.64875793	165.57350159	366.77059937
3.45000000	166.92445374	175.30570984	165.63900757	375.30877686
3.46000000	166.25135803	181.43576050	165.29035950	382.02203369
3.47000000	165.80169678	187.30241394	165.00373840	385.98040771
3.48000000	165.12727356	191.25758362	164.75892639	387.62960815
3.49000000	164.71473694	192.97389221	164.40049744	387.50048828
3.50000000	165.11137390	193.17658997	164.25964355	386.06808472
3.51000000	165.59561157	193.85301208	164.20700073	383.37426758
3.52000000	165.92927551	195.33129883	163.73377991	379.32144165
3.53000000	165.68423462	196.62847900	163.32638550	373.92633057
3.54000000	164.85058594	197.44157410	162.65000916	367.36251831
